Potential (V)	 Current (A)	 Elapsed Time (s)
0.93607511	 1.1379395e-005	 46.805
0.93837366	 1.1384888e-005	 46.92
0.9406722	 1.1427002e-005	 47.035
0.94297074	 1.1489258e-005	 47.15
0.94528683	 1.1546631e-005	 47.265
0.94758537	 1.1572876e-005	 47.38
0.94988391	 1.1605835e-005	 47.495
0.95218245	 1.1636963e-005	 47.61
0.95448099	 1.1657715e-005	 47.725
0.95677953	 1.1712036e-005	 47.84
0.95907807	 1.1707764e-005	 47.955
0.96137661	 1.1723022e-005	 48.07
0.96367516	 1.1762695e-005	 48.185
0.9659737	 1.182312e-005	 48.3
0.96827224	 1.1870728e-005	 48.415
0.97057078	 1.1881714e-005	 48.53
0.97286932	 1.1920776e-005	 48.645
0.97516786	 1.1942749e-005	 48.76
0.97748395	 1.1981201e-005	 48.875
0.97978249	 1.2017822e-005	 48.99
0.98208103	 1.2021484e-005	 49.105
0.98437957	 1.2052612e-005	 49.22
0.98667812	 1.210083e-005	 49.335
0.98897666	 1.2159424e-005	 49.45
0.9912752	 1.22052e-005	 49.565
0.99357374	 1.222168e-005	 49.68
0.99587228	 1.2260742e-005	 49.795
0.99817082	 1.2271729e-005	 49.91
1.0004694	 1.2299194e-005	 50.025
1.0027679	 1.2347412e-005	 50.14
1.0050664	 1.2349243e-005	 50.255
1.007365	 1.2382813e-005	 50.37
1.0096635	 1.2440796e-005	 50.485
1.0119796	 1.249939e-005	 50.6
1.0142782	 1.2541504e-005	 50.715
1.0165767	 1.256958e-005	 50.83
1.0188752	 1.2605591e-005	 50.945
1.0211738	 1.2625732e-005	 51.06
1.0234723	 1.265686e-005	 51.175
1.0257709	 1.2684326e-005	 51.29
1.0280694	 1.2700195e-005	 51.405
1.0303679	 1.2735596e-005	 51.52
1.0326665	 1.27948e-005	 51.635
1.034965	 1.2843018e-005	 51.75
1.0372636	 1.2871704e-005	 51.865
1.0395621	 1.2907715e-005	 51.98
1.0418607	 1.293396e-005	 52.095
1.0441767	 1.2967529e-005	 52.21
1.0464753	 1.3009033e-005	 52.325
1.0487738	 1.3017578e-005	 52.44
1.0510724	 1.3043823e-005	 52.555
1.0533709	 1.3082275e-005	 52.67
1.0556694	 1.3137817e-005	 52.785
1.057968	 1.3192139e-005	 52.9
1.0602665	 1.3225708e-005	 53.015
1.0625651	 1.3255005e-005	 53.13
1.0648636	 1.328064e-005	 53.245
1.0671622	 1.3306274e-005	 53.36
1.0694607	 1.3338623e-005	 53.475
1.0717592	 1.3347168e-005	 53.59
1.0740578	 1.336853e-005	 53.705
1.0763739	 1.3426514e-005	 53.82
1.0786724	 1.3480835e-005	 53.935
1.080971	 1.3532715e-005	 54.05
1.0832695	 1.3560181e-005	 54.165
1.085568	 1.3601074e-005	 54.28
1.0878666	 1.3625488e-005	 54.395
1.0901651	 1.3651733e-005	 54.51
1.0924637	 1.3696899e-005	 54.625
1.0947622	 1.3713379e-005	 54.74
1.0970607	 1.3745117e-005	 54.855
1.0993593	 1.3787231e-005	 54.97
1.1016578	 1.3848267e-005	 55.085
1.1039564	 1.3892212e-005	 55.2
1.1062549	 1.3930054e-005	 55.315
1.1085534	 1.3974609e-005	 55.43
1.1108695	 1.4017944e-005	 55.545
1.1131681	 1.4050903e-005	 55.66
1.1154666	 1.4099731e-005	 55.775
1.1177652	 1.4118652e-005	 55.89
1.1200637	 1.4162598e-005	 56.005
1.1223622	 1.4225464e-005	 56.12
1.1246608	 1.4304199e-005	 56.235
1.1269593	 1.43573e-005	 56.35
1.1292579	 1.4402466e-005	 56.465
1.1315564	 1.4463501e-005	 56.58
1.1338549	 1.4499512e-005	 56.695
1.1361535	 1.4536133e-005	 56.81
1.138452	 1.4596558e-005	 56.925
1.1407506	 1.4616089e-005	 57.04
1.1430667	 1.4689941e-005	 57.155
1.1453652	 1.4759521e-005	 57.27
1.1476637	 1.4844971e-005	 57.385
1.1499623	 1.4915161e-005	 57.5
1.1522608	 1.4974365e-005	 57.615
1.1545594	 1.5031738e-005	 57.73
1.1568579	 1.5079346e-005	 57.845
1.1591564	 1.5143433e-005	 57.96
1.161455	 1.519165e-005	 58.075
1.1637535	 1.5231323e-005	 58.19
1.1660521	 1.5296021e-005	 58.305
1.1683506	 1.5376587e-005	 58.42
1.1706492	 1.5457153e-005	 58.535
1.1729477	 1.5518188e-005	 58.65
1.1752638	 1.5595093e-005	 58.765
1.1775623	 1.5664673e-005	 58.88
1.1798609	 1.5717773e-005	 58.995
1.1821594	 1.5811768e-005	 59.11
1.184458	 1.5855103e-005	 59.225
1.1867565	 1.5908203e-005	 59.34
1.189055	 1.5985718e-005	 59.455
1.1913536	 1.6083984e-005	 59.57
1.1936521	 1.6170044e-005	 59.685
1.1959507	 1.6238403e-005	 59.8
1.1982492	 1.6315308e-005	 59.915
1.1993371	 1.498291e-005	 60.03
1.197021	 1.2127075e-005	 60.145
1.1947224	 1.0654297e-005	 60.26
1.1924239	 9.4830322e-006	 60.375
1.1901253	 8.5168457e-006	 60.49
1.1878268	 7.7197266e-006	 60.605
1.1855283	 7.0440674e-006	 60.72
1.1832297	 6.4483643e-006	 60.835
1.1809312	 5.9057617e-006	 60.95
1.1786326	 5.4229736e-006	 61.065
1.1763341	 4.9865723e-006	 61.18
1.1740356	 4.5831299e-006	 61.295
1.171737	 4.2388916e-006	 61.41
1.1694385	 3.8928223e-006	 61.525
1.1671399	 3.583374e-006	 61.64
1.1648414	 3.3117676e-006	 61.755
1.1625253	 3.0670166e-006	 61.87
1.1602268	 2.8442383e-006	 61.985
1.1579282	 2.6257324e-006	 62.1
1.1556297	 2.4224854e-006	 62.215
1.1533311	 2.2369385e-006	 62.33
1.1510326	 2.0397949e-006	 62.445
1.1487341	 1.8884277e-006	 62.56
1.1464355	 1.7169189e-006	 62.675
1.144137	 1.5545654e-006	 62.79
1.1418384	 1.4257813e-006	 62.905
1.1395399	 1.3220215e-006	 63.02
1.1372413	 1.2084961e-006	 63.135
1.1349428	 1.0925293e-006	 63.25
1.1326443	 9.8205566e-007	 63.365
1.1303282	 8.3984375e-007	 63.48
1.1280296	 7.4822998e-007	 63.595
1.1257311	 6.7028809e-007	 63.71
1.1234326	 5.5566406e-007	 63.825
1.121134	 4.4805908e-007	 63.94
1.1188355	 3.75e-007	 64.055
1.1165369	 3.1561279e-007	 64.17
1.1142384	 2.4902344e-007	 64.285
1.1119398	 1.6638184e-007	 64.4
1.1096413	 9.9975586e-008	 64.515
1.1073428	 2.3345947e-008	 64.63
1.1050442	 -3.59375e-008	 64.745
1.1027457	 -1.0004272e-007	 64.86
1.1004471	 -1.6560669e-007	 64.975
1.0958325	 -3.6572266e-007	 65.205
1.093534	 -3.6499023e-007	 65.32
1.0912354	 -4.0167236e-007	 65.435
1.0889369	 -4.5574951e-007	 65.55
1.0866383	 -5.0720215e-007	 65.665
1.0843398	 -5.5975342e-007	 65.78
1.0820413	 -6.184082e-007	 65.895
1.0797427	 -6.574707e-007	 66.01
1.0774442	 -7.1734619e-007	 66.125
1.0751456	 -7.9125977e-007	 66.24
1.0728471	 -8.2897949e-007	 66.355
1.0705486	 -8.6553955e-007	 66.47
1.06825	 -8.9135742e-007	 66.585
1.0659515	 -9.4616699e-007	 66.7
1.0636354	 -9.9816895e-007	 66.815
1.0613368	 -1.046936e-006	 66.93
1.0590383	 -1.1079712e-006	 67.045
1.0567398	 -1.1445313e-006	 67.16
1.0544412	 -1.201416e-006	 67.275
1.0521427	 -1.2598877e-006	 67.39
1.0498441	 -1.2991333e-006	 67.505
1.0475456	 -1.3299561e-006	 67.62
1.0452471	 -1.3526001e-006	 67.735
1.0429485	 -1.3961182e-006	 67.85
1.04065	 -1.4402466e-006	 67.965
1.0383514	 -1.4822998e-006	 68.08
1.0360529	 -1.5326538e-006	 68.195
1.0337543	 -1.5741577e-006	 68.31
1.0314383	 -1.6344604e-006	 68.425
1.0291397	 -1.6948242e-006	 68.54
1.0268412	 -1.7328491e-006	 68.655
1.0245426	 -1.758606e-006	 68.77
1.0222441	 -1.7896118e-006	 68.885
1.0199456	 -1.8342896e-006	 69
1.017647	 -2.3297119e-006	 69.115
1.0153485	 -1.9384766e-006	 69.23
1.0130499	 -1.9818115e-006	 69.345
1.0107514	 -2.0196533e-006	 69.46
1.0084528	 -2.0697021e-006	 69.575
1.0061543	 -2.1380615e-006	 69.69
1.0038558	 -2.1820068e-006	 69.805
1.0015572	 -2.2143555e-006	 69.92
0.99924114	 -2.2454834e-006	 70.035
0.99694259	 -2.2912598e-006	 70.15
0.99464405	 -2.3400879e-006	 70.265
0.99234551	 -2.3944092e-006	 70.38
0.99004697	 -2.4475098e-006	 70.495
0.98774843	 -2.4890137e-006	 70.61
0.98544989	 -2.5463867e-006	 70.725
0.98315135	 -2.6147461e-006	 70.84
0.98085281	 -2.6629639e-006	 70.955
0.97855426	 -2.6971436e-006	 71.07
0.97625572	 -2.7307129e-006	 71.185
0.97395718	 -2.7850342e-006	 71.3
0.97165864	 -2.8326416e-006	 71.415
0.9693601	 -2.8924561e-006	 71.53
0.96706156	 -2.9547119e-006	 71.645
0.96474547	 -3.012085e-006	 71.76
0.96244693	 -3.0895996e-006	 71.875
0.96014839	 -3.1512451e-006	 71.99
0.95784985	 -3.2025146e-006	 72.105
0.9555513	 -3.2440186e-006	 72.22
0.95325276	 -3.2940674e-006	 72.335
0.95095422	 -3.3563232e-006	 72.45
